MES,ACRE,ALAGOAS,AMAPA,AMAZONAS,BAHIA,CEARA,DISTRITO FEDERAL,ESPIRITO SANTO ,GOIAS,HAITI ,LIBANO,MARANHÃO,MATO GROSSO ,MATO GROSSO DO SUL,MINAS GERAIS,PARA,PARAIBA,PARANA,PERNAMBUCO,PERU,PIAUI,RIO DE JANEIRO,RIO GRANDE DO NORTE,RIO GRANDE DO SUL ,RONDONIA,RORAIMA,SANTA CATARINA,SERGIPE,SÃO PAULO,TOCANTINS,TOTAL
2020/04,0.0,0.0,45.0,90.0,0.0,45.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0.0,20.0,20.0,0.0,0.0,60,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,387
2020/05,30.0,30.0,60.0,88.0,60.0,30.0,0.0,60.0,25.0,0.0,0.0,45.0,0.0,0.0,0.0,284,130.0,0.0,75.0,0.0,20.0,577,80.0,0.0,65.0,75.0,0.0,70.0,460.0,20.0,2284
2020/06,120.0,105.0,20.0,44.0,246.0,105.0,200.0,85.0,251.0,0.0,0.0,196.0,150.0,100.0,389.0,42,115.0,254.0,40.0,0.0,70.0,177,97.0,297.0,126.0,50.0,56.0,60.0,296.0,50.0,3741
2020/07,20.0,87.0,0.0,0.0,355.0,109.0,50.0,79.0,296.0,0.0,0.0,49.0,90.0,119.0,339.0,21,87.0,291.0,85.0,0.0,89.0,208,150.0,362.0,84.0,37.0,65.0,56.0,134.0,55.0,3317
2020/08,0.0,3.0,0.0,0.0,126.0,34.0,0.0,37.0,108.0,0.0,300.0,19.0,14.0,62.0,182.0,23,12.0,73.0,5.0,0.0,18.0,64,3.0,92.0,8.0,0.0,5.0,0.0,220.0,0.0,1408
2020/09,0.0,0.0,0.0,0.0,7.0,1.0,0.0,8.0,7.0,0.0,0.0,0.0,15.0,5.0,10.0,2,10.0,39.0,0.0,0.0,8.0,62,0.0,108.0,0.0,0.0,0.0,0.0,0.0,72.0,354
2020/10,0.0,11.0,0.0,80.0,15.0,30.0,23.0,0.0,20.0,0.0,0.0,2.0,3.0,54.0,38.0,14,8.0,47.0,26.0,0.0,2.0,195,0.0,49.0,0.0,0.0,1.0,0.0,39.0,26.0,683
2020/11,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2,0.0,134.0,25.0,0.0,3.0,248,0.0,32.0,0.0,0.0,2.0,0.0,0.0,0.0,461
2020/12,0.0,1.0,0.0,90.0,143.0,0.0,0.0,170.0,48.0,0.0,0.0,2.0,0.0,20.0,6.0,2,100.0,118.0,2.0,330.0,0.0,69,0.0,73.0,5.0,0.0,117.0,0.0,9.0,3.0,1308
2021/01,20.0,50.0,8.0,204.0,32.0,0.0,0.0,0.0,180.0,100.0,0.0,11.0,0.0,0.0,53.0,8,0.0,3.0,0.0,0.0,50.0,123,0.0,15.0,24.0,50.0,0.0,0.0,6.0,4.0,941
2021/02,40.0,0.0,4.0,77.0,72.0,10.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,112.0,57,0.0,14.0,25.0,0.0,0.0,61,0.0,0.0,37.0,0.0,100.0,0.0,58.0,0.0,675
